148, '正常', '电表', NULL, '应急配电缆应急发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D074', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
149, '正常', '电表', NULL, '应急配电缆应急发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D075', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
150, '正常', '电表', NULL, '应急配电缆应急发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D076', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
151, '正常', '电表', NULL, '应急配电缆应急发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D077', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
152, '正常', '电表', NULL, '应急配电缆应急发电机负载屏', '电表', NULL, NULL, NULL, 'SL505-D078', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
153, '正常', '电表', NULL, '应急配电缆应急发电机负载屏', '电表', NULL, NULL, NULL, 'SL505-D079', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
154, '正常', '电表', NULL, '应急配电缆应急发电机负载屏', '电表', NULL, NULL, NULL, 'SL505-D080', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
155, '正常', '电表', NULL, '应急配电缆应急发电机负载屏', '电表', NULL, NULL, NULL, 'SL505-D081', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
156, '正常', '耐震压力表', 'PRESSVREGAGGE', '液压泵站', '压力', 'YN-60', '（0~400）Mpa', 1.6, 'SL505-YL045', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
157, '正常', '耐震压力表', 'PRESSVREGAGGE', '液压泵站', '压力', 'YN-60', '（0~400）Mpa', 1.6, 'SL505-YL046', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
158, '正常', '压力表', '中国黎明液压有限公司', '液压泵站', '压力', 'Y-20', '（0~0.4）Mpa', 1.6, 'SL505-YL047', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
159, '正常', '耐震压力表', 'PARKER', '克令吊液压泵', '压力', 'YN-60', '（0~400）Mpa', 1.6, 'SL505-YL048', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
160, '正常', '耐震压力表', 'PARKER', '克令吊液压泵', '压力', 'YN-60', '（0~400）Mpa', 1.6, 'SL505-YL049', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
161, '正常', '船用压力表', '中国扬州腾飞仪器仪表有限公司', '淡水压力柜', '压力', 'Y-100', '（0~1）Mpa', 1.6, 'A1610173', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
162, '正常', '耐震压力表', 'MASS', '锚机', '压力', 'YN-60', '（0~40）Mpa', 1.6, 'SL505-YL050', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
163, '正常', '耐震压力表', 'MASS', '锚机', '压力', 'YN-60', '（0~40）Mpa', 1.6, 'SL505-YL051', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
164, '正常', '耐震压力表', 'MASS', '移动绞车右', '压力', 'YN-60', '（0~40）Mpa', 1.6, 'SL505-YL052', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
165, '正常', '耐震压力表', 'MASS', '移货绞车左', '压力', 'YN-60', '（0~40）Mpa', 1.6, 'SL505-YL053', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
166, '正常', '压力表', '上海天川仪表厂', '二氧化碳间', '压力', 'Y-100', '（0~25）Mpa', 1.6, '1G0403071', '三副', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
167, '正常', '压力表', '上海天川仪表厂', '二氧化碳间', '压力', 'Y-100', '（0~25）Mpa', 1.6, '1G0403078', '三副', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
168, '正常', '耐震压力表', 'MASS', '右尾绞盘', '压力', 'YN-60', '（0~40）Mpa', 1.6, 'SL505-YL054', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
